Rank,Rank,State or territory,Census population[7][a],Census population[7][a],"Change,2010–2020[7][a]","Change,2010–2020[7][a]",House of Reps.[b],House of Reps.[b],"Pop. per elec. vote, 2020[c]",Census pop. per seat,Census pop. per seat,% of the total U.S. pop.[d],% of the total U.S. pop.[d],% of the total U.S. pop.[d],% of Elec. Coll.
'20,'10,State or territory,"April 1, 2020","April 1, 2010",%,Abs.,S.,%,"Pop. per elec. vote, 2020[c]",'20,'10,Est. 2020,2010,Ch.2010–2020,% of Elec. Coll.
1,1,California,"39,538,223","37,253,956",6.1%,"2,284,267",52,11.95%,"715,783","761,091","702,905",11.80%,11.91%,–0.11%,10.04%
2,2,Texas,"29,145,505","25,145,561",15.9%,"3,999,944",38,8.74%,"772,652","767,981","698,488",8.70%,8.04%,0.66%,7.43%
3,4,Florida,"21,538,187","18,801,310",14.6%,"2,736,877",28,6.44%,"749,425","770,376","696,345",6.43%,6.01%,0.42%,5.58%
4,3,New York,"20,201,249","19,378,102",4.2%,"823,147",26,5.98%,"666,785","777,529","717,707",6.03%,6.19%,–0.17%,5.20%
5,6,Pennsylvania,"13,002,700","12,702,379",2.4%,"300,321",17,3.91%,"639,163","765,403","705,688",3.88%,4.06%,–0.18%,3.53%
6,5,Illinois,"12,812,508","12,830,632",–0.1%,"–18,124",17,3.91%,"629,377","754,279","712,813",3.82%,4.10%,–0.28%,3.53%
7,7,Ohio,"11,799,448","11,536,504",2.3%,"262,944",15,3.45%,"649,623","787,257","721,032",3.52%,3.69%,–0.17%,3.16%
8,9,Georgia,"10,711,908","9,687,653",10.6%,"1,024,255",14,3.22%,"669,376","766,091","691,975",3.20%,3.10%,0.10%,2.97%
9,10,North Carolina,"10,439,388","9,535,483",9.5%,"903,905",14,3.22%,"706,722","746,711","733,499",3.12%,3.05%,0.07%,2.97%
10,8,Michigan,"10,077,331","9,883,640",2.0%,"193,691",13,2.99%,"622,910","775,726","705,974",3.01%,3.16%,–0.15%,2.79%
11,11,New Jersey,"9,288,994","8,791,894",5.7%,"497,100",12,2.76%,"634,455","774,541","732,658",2.77%,2.81%,–0.04%,2.60%
12,12,Virginia,"8,631,393","8,001,024",7.9%,"630,369",11,2.53%,"660,813","786,777","727,366",2.58%,2.56%,0.02%,2.42%
13,13,Washington,"7,705,281","6,724,540",14.6%,"980,741",10,2.30%,"641,134","771,595","672,454",2.30%,2.15%,0.15%,2.23%
14,16,Arizona,"7,151,502","6,392,017",11.9%,"759,485",9,2.07%,"674,673","795,436","710,224",2.13%,2.04%,0.09%,2.04%
15,14,Massachusetts,"7,029,917","6,547,629",7.4%,"482,288",9,2.07%,"626,689","781,497","727,514",2.10%,2.09%,0.00%,2.04%
16,17,Tennessee,"6,910,840","6,346,105",8.9%,"564,735",9,2.07%,"626,076","768,544","705,123",2.06%,2.03%,0.03%,2.04%
17,15,Indiana,"6,785,528","6,483,802",4.7%,"301,726",9,2.07%,"614,087","754,476","720,422",2.02%,2.07%,–0.05%,2.04%
18,19,Maryland,"6,177,224","5,773,552",7.0%,"403,672",8,1.84%,"615,155","773,160","748,616",1.84%,1.85%,–0.00%,1.86%
19,18,Missouri,"6,154,913","5,988,927",2.8%,"165,986",8,1.84%,"605,580","770,035","721,694",1.84%,1.91%,–0.08%,1.86%
20,20,Wisconsin,"5,893,718","5,686,986",3.6%,"206,732",8,1.84%,"583,266","737,184","710,873",1.76%,1.82%,–0.06%,1.86%
21,22,Colorado,"5,773,714","5,029,196",14.8%,"744,518",8,1.84%,"645,302","722,771","718,457",1.72%,1.61%,0.12%,1.86%
22,21,Minnesota,"5,706,494","5,303,925",7.6%,"402,569",8,1.84%,"565,734","713,719","662,991",1.70%,1.70%,0.01%,1.86%
23,24,South Carolina,"5,118,425","4,625,364",10.7%,"493,061",7,1.61%,"579,782","732,102","660,766",1.53%,1.48%,0.05%,1.67%
24,23,Alabama,"5,024,279","4,779,736",5.1%,"244,543",7,1.61%,"546,837","718,579","682,819",1.50%,1.53%,–0.03%,1.67%
25,25,Louisiana,"4,657,757","4,533,372",2.7%,"124,385",6,1.38%,"580,665","776,911","755,562",1.39%,1.45%,–0.06%,1.49%
26,26,Kentucky,"4,505,836","4,339,367",3.8%,"166,469",6,1.38%,"559,656","751,557","723,228",1.35%,1.39%,–0.04%,1.49%
27,27,Oregon,"4,237,256","3,831,074",10.6%,"406,182",6,1.38%,"605,930","706,917","766,215",1.26%,1.22%,0.04%,1.49%
28,28,Oklahoma,"3,959,353","3,751,351",5.5%,"208,002",5,1.15%,"568,683","792,703","750,270",1.18%,1.20%,–0.02%,1.30%
29,30,Connecticut,"3,605,944","3,574,097",0.9%,"31,847",5,1.15%,"508,144","721,660","714,819",1.08%,1.14%,–0.07%,1.30%
30,29,Puerto Rico,"3,285,874","3,725,789",–‍11.8%,"–439,915",1*,—,—,—,—,0.98%,1.19%,–0.21%,—
31,35,Utah,"3,271,616","2,763,885",18.4%,"507,731",4,0.92%,"541,647","818,813","690,971",0.98%,0.88%,0.09%,1.12%
32,31,Iowa,"3,190,369","3,046,355",4.7%,"144,014",4,0.92%,"527,260","798,102","761,589",0.95%,0.97%,–0.02%,1.12%
33,36,Nevada,"3,104,614","2,700,551",15.0%,"404,063",4,0.92%,"523,043","777,116","675,138",0.93%,0.86%,0.06%,1.12%
34,33,Arkansas,"3,011,524","2,915,918",3.3%,"95,606",4,0.92%,"505,087","753,439","728,980",0.90%,0.93%,–0.03%,1.12%
35,32,Mississippi,"2,961,279","2,967,297",–0.2%,"–6,018",4,0.92%,"494,464","740,979","741,824",0.88%,0.95%,–0.06%,1.12%
36,34,Kansas,"2,937,880","2,853,118",3.0%,"84,762",4,0.92%,"485,634","735,216","713,280",0.88%,0.91%,–0.04%,1.12%
37,37,New Mexico,"2,117,522","2,059,179",2.8%,"58,343",3,0.69%,"421,264","706,740","686,393",0.63%,0.66%,–0.03%,0.93%
38,39,Nebraska,"1,961,504","1,826,341",7.4%,"135,163",3,0.69%,"387,510","654,444","608,780",0.59%,0.58%,0.00%,0.93%
39,40,Idaho,"1,839,106","1,567,582",17.3%,"271,524",2,0.46%,"456,728","920,689","783,791",0.55%,0.50%,0.05%,0.74%
40,38,West Virginia,"1,793,716","1,852,994",–3.2%,"–59,278",2,0.46%,"356,957","897,523","617,665",0.54%,0.59%,–0.06%,0.74%
41,41,Hawaii,"1,455,271","1,360,301",7.0%,"94,970",2,0.46%,"351,752","730,069","680,151",0.44%,0.43%,0.00%,0.74%
42,43,New Hampshire,"1,377,529","1,316,470",4.6%,"61,059",2,0.46%,"341,569","689,545","658,235",0.41%,0.42%,–0.01%,0.74%
43,42,Maine,"1,362,359","1,328,361",2.6%,"33,998",2,0.46%,"337,535","681,791","664,181",0.41%,0.42%,–0.02%,0.74%
44,44,Rhode Island,"1,097,379","1,052,567",4.3%,"44,812",2,0.46%,"264,281","549,082","526,284",0.33%,0.34%,–0.01%,0.74%
45,45,Montana,"1,084,225","989,415",9.6%,"94,810",2,0.46%,"360,192","542,704","989,415",0.32%,0.32%,0.01%,0.74%
46,46,Delaware,"989,948","897,934",10.2%,"92,014",1,0.23%,"328,936","990,837","897,934",0.30%,0.29%,0.01%,0.56%
47,47,South Dakota,"886,667","814,180",8.9%,"72,487",1,0.23%,"297,572","887,770","814,180",0.26%,0.26%,0.00%,0.56%
48,49,North Dakota,"779,094","672,591",15.8%,"106,503",1,0.23%,"255,103","779,702","672,591",0.23%,0.21%,0.02%,0.56%
49,48,Alaska,"733,391","710,231",3.3%,"23,160",1,0.23%,"243,719","736,081","710,231",0.22%,0.23%,–0.01%,0.56%
50,51,District of Columbia,"689,545","601,723",14.6%,"87,822",1*,—,"237,605",—,—,0.21%,0.19%,0.01%,0.56%
51,50,Vermont,"643,077","625,741",2.8%,"17,336",1,0.23%,"207,782","643,503","625,741",0.19%,0.20%,–0.01%,0.56%
52,52,Wyoming,"576,851","563,626",2.3%,"13,225",1,0.23%,"194,109","577,719","563,626",0.17%,0.18%,–0.01%,0.56%
53,53,Guam[8],"153,836","159,358",–3.5%,"–5,522",1*,—,—,—,—,0.05%,0.05%,–0.00%,—
54,54,U.S. Virgin Islands[9],"87,146","106,405",–18.1%,"–19,259",1*,—,—,—,—,0.03%,0.03%,–0.00%,—
55,55,American Samoa[10],"49,710","55,519",–10.5%,"–5,809",1*,—,—,—,—,0.01%,0.02%,–0.00%,—
56,56,Northern Mariana Islands[11],"47,329","53,883",–12.2%,"–6,554",1*,—,—,—,—,0.01%,0.02%,–0.00%,—
—,—,Contiguous United States,"329,260,619","306,675,006",7.4%,"+22,585,613",432(+1*),99.31%,"616,471","757,745","709,896",98.27%,98.03%,0.24%,98.70%
—,—,The 50 states,"330,759,736","308,143,815",7.3%,"+22,615,921",435,100%,"614,526","755,796","708,377",98.71%,98.50%,0.22%,99.44%
—,—,The 50 states and D.C.,"331,449,281","308,745,538",7.4%,"+22,703,743",435(+1*),100%,"612,424",—,—,98.92%,98.69%,0.23%,100%
—,—,Total United States,"335,073,176","312,846,492",7.1%,"+22,226,684",435(+6*),100%,—,—,—,100%,100%,—,—
